NumeroSiret	RaisonSocial	NatureActivité	CodeActivité	AdresseRue	AdresseCodePostale	AdresseVille	AdresseCodeInsee	AdresseGeoLat	AdresseGeoLong	ProjetCodeRegion	ProjetRegion	ProjetCodedepartement	ProjetDepartement	ProjetArrondissement	ProjetCodeArrondissement	ProjetCodeCanton	ProjetCanton	ProjetCodeCommune	ProjetCommune	ProjetGeoLong	ProjetGeoLat	Dossier	PO	Projet	EtatStatus	EtatDossierPaye	EtatDossierSolde	DateDepotDossier	MoisDepotDossier	AnneeDepotDossier	DateLimiteDebutReal	DateLimiteFinReal	MoisFinReal	AnneeFinReal	DatePremierComite	MoisPremierComite	AnneePremierComite	MontantGlobal	DepenseEligibleProgramme	DepenseTotalProgrammeUE	DepenseTotalProgrammeEtat	DepenseTotalProgrammeRegion	DepenseTotalProgrammeDepartement	DepenseTotalProgrammeAutrePublic	DepenseTotalProgrammeCperEtat	DepenseTotalProgrammeCperRegion	PaiementTotalUE	PaiementTotalEtat	PaiementTotalRegion	PaiementTotalDepartement	PaiementTotalAutrePublic	PaiementTotalPrive	PaiementTotal	PaiementTotalValideAC	FIN
S18290013400145	Chambre de Commerce et d'Industrie de Quimper Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29000	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	98	QUIMPER	29232	QUIMPER	0	0	31009	Fonds Européen de Développement Régional  	0925C0497 - BBC - Construction d'un centre de formation technique / Centre de ressources en développement durable	Programmé	O	O	11/05/2011	05	2011	01/05/2012	28/02/2013	02	2013	13/07/2014	07	2014	3598813.8	406943.24	28008	0	7002	14004	7002	0	0	23854.32	0	5637.31	11274.62	5637.31	0	300316.25	346719.82	0
S18290013400103	Chambre de Commerce et d'Industrie de Quimper Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145 avenue de Keradennec	29000	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	0	0	0	0	0	27429	Fonds Social Européen 	Entreprendre en France - Finistère	Programmé	O	O	10/10/2010	10	2010	01/01/2010	31/12/2010	12	2010	11/12/2010	12	2010	59690.7	37816.2	13103.09	0	0	10350	5490	0	0	13103.09	0	0	10350	5490	0	8873.11	37816.2	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	0	0	0	0	0	0	0	0	36295	Fonds Européen pour la Pêche 	AG2R - Promotion des produits de la mer	Programmé	N	N	28/02/2014	02	2014	29/03/2014	06/04/2014	04	2014	04/04/2014	04	2014	35930.83	35930.83	17965.41	8982.71	0	0	8982.7	0	0	0	0	0	0	0	0	0	0	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	0	0	0	0	0	36192	Fonds Européen pour la Pêche 	Etude de restructuration de la criée de Lesconil	Programmé	N	N	02/12/2013	12	2013	01/08/2013	31/07/2014	07	2014	16/12/2013	12	2013	21472.79	13959	6979.5	3489.75	0	0	3489.75	0	0	0	0	0	0	0	0	0	0	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	10	CONCARNEAU	29039	CONCARNEAU	0	0	33462	Fonds Européen pour la Pêche 	Installation d'un palier et d'une passerelle d'accés au ponton de réparation pêche côtière du port de Concarneau	Abandonné / Déprogrammé	N	O	25/10/2011	10	2011	02/06/2014	31/03/2015	03	2015	05/12/2013	12	2013	12361.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	Plusieurs cantons	0	Plusieurs communes	0	0	35634	Fonds Européen pour la Pêche 	Travaux complémentaires nécessaires et liés à la mise en place de systémes de traitement de l'eau de mer (ports et  criées de Douarnenez, Concarneau, Saint-Guénolé Penmarc'h et Loctudy)	Programmé	N	N	17/07/2013	07	2013	02/06/2014	31/12/2014	12	2014	05/12/2013	12	2013	136897.47	136897.47	41069.24	27379.49	26295.3	27379.49	14773.94	27379.49	26295.3	0	0	0	0	0	0	0	0	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	49	GUILVINEC	29072	GUILVINEC	0	0	36219	Fonds Européen pour la Pêche 	Connexion informatique du convoyeur pêche hauturière - Guilvinec	Programmé	O	O	04/11/2013	11	2013	04/11/2013	31/12/2014	12	2014	05/12/2013	12	2013	32524.2	32524.2	6504.84	3252.42	6504.3	6504.84	0	0	0	6504.84	3252.42	6504.3	6504.84	0	0	9757.8	32524.2	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations et organismes extraterritoriaux	145 Avenue de Keradennec	29000	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	0	0	0	0	0	0	0	0	31127	Fonds Social Européen 	Entreprendre en France - Finistère	Programmé	O	O	01/07/2013	07	2013	01/01/2013	31/12/2013	12	2013	09/11/2013	11	2013	58345.2	44855.93	19243.96	0	0	8280	5490	0	0	19243.96	0	0	8280	5490	0	11841.97	44855.93	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	49	GUILVINEC	29072	GUILVINEC	0	0	34416	Fonds Européen pour la Pêche 	Refonte de magasins de marée sur le port du Guilvinec	Programmé	O	O	07/09/2012	09	2012	11/02/2014	11/11/2014	11	2014	15/10/2013	10	2013	54331.38	53558.73	10711.75	21424.02	10711.22	10711.75	0	5355.87	10711.22	10711.75	21424.02	10711.22	10711.75	0	0	0	53558.73	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	Plusieurs cantons	0	Plusieurs communes	0	0	34974	Fonds Européen pour la Pêche 	Construction de locaux techniques nécessaires au stockage de l'eau de mer filtrée pour les criées du Guilvinec, de Concarneau, Loctudy, Saint-Guénolé-Penmarc'h et Douarnenez	Programmé	N	N	15/01/2013	01	2013	13/02/2014	31/01/2015	01	2015	15/10/2013	10	2013	537686.42	537686.42	161305.93	161306.7	107536.5	107537.28	0	107537.28	107536.5	0	0	0	0	0	0	0	0	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	33	PONT-CROIX	29003	AUDIERNE	0	0	34987	Fonds Européen pour la Pêche 	Création d'une aire de carénage pour la pêche sur le port d'Audierne	Programmé	O	O	18/01/2013	01	2013	14/02/2014	14/11/2014	11	2014	15/10/2013	10	2013	104098.05	103909.05	31172.72	31173.44	20781.09	20781.81	0	20781.81	20781.09	31172.72	31173.44	20781.09	20781.81	0	0	0	103909.05	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	98	QUIMPER	29232	QUIMPER	0	0	35700	Fonds Européen pour la Pêche 	Acquisition d'un tapis de tri et d'un retourneur - Port de Guilvinec	Programmé	O	O	10/07/2013	07	2013	10/07/2013	28/02/2013	02	2013	15/10/2013	10	2013	23165.69	23165.69	5659.84	3343.27	4632.3	4633.14	0	0	0	5659.84	3343.27	4632.3	4633.14	0	0	4897.15	23165.69	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	98	QUIMPER	29232	QUIMPER	0	0	35701	Fonds Européen pour la Pêche 	Acquisition d'un vire filet pour le port d'Audierne	Programmé	O	O	12/07/2013	07	2013	17/07/2013	28/02/2014	02	2014	15/10/2013	10	2013	13273.82	13273.82	2654.77	1327.38	2654.1	2654.77	0	0	0	2654.77	1327.38	2654.1	2654.77	0	0	3982.81	13273.82	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	Plusieurs cantons	0	Plusieurs communes	0	0	33688	Fonds Européen pour la Pêche 	Assistance à maîtrise d'oeuvre pour l'installation de systèmes d'eau de mer propre dans les criées de Cornouaille	Programmé	N	N	06/01/2012	01	2012	26/11/2013	31/03/2015	03	2015	22/01/2013	01	2013	56403	56403	16920.9	11280.6	11280.6	11280.6	5640.3	11280.6	11280.6	8460.45	4392.9	11280.6	11280.6	5640.3	0	15348.15	28201.5	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	13	DOUARNENEZ	29046	DOUARNENEZ	0	0	33890	Fonds Européen pour la Pêche 	Restructuration de la halle à marée du port de Douarnenez : création d'un hall d'expédition impliquant réorganisation des ateliers de mareyage aux fins d'extension (GO), retraitement des facades, des toitures sur les extensions et du terre-plein	Programmé	N	N	12/03/2012	03	2012	22/12/2013	30/04/2015	04	2015	22/01/2013	01	2013	2454892.2	2104792.2	420958.44	210479.22	420958.44	420958.44	631437.66	210479.22	420958.44	64536.37	32268.19	64536.37	64536.37	96804.55	0	0	322681.85	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	98	QUIMPER	29232	QUIMPER	0	0	34110	Fonds Européen pour la Pêche 	Modernisation de l'informatique de vente sous les halles à marée de Cornouaille	Programmé	O	O	10/05/2012	05	2012	07/06/2012	31/03/2014	03	2014	22/01/2013	01	2013	178549.2	178549.2	35709.84	17854.92	35709.3	35709.84	0	0	0	34946.65	17473.33	34946.12	34946.67	0	0	52420.48	0	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations et organismes extraterritoriaux	145 Avenue de Keradennec	29000	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	0	0	0	0	0	34344	Fonds Social Européen 	Entreprendre en France - Finistère	Programmé	O	O	13/07/2012	07	2012	01/01/2012	31/12/2012	12	2012	16/11/2012	11	2012	52949.2	37117.2	18558.6	0	0	8280	5490	0	0	18558.6	0	0	8280	5490	0	4788.59	37117.2	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations et organismes extraterritoriaux	145 Avenue de Keradennec	29000	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	98	QUIMPER	29232	QUIMPER	0	0	29891	Fonds Social Européen 	Entreprendre en France - Finistère	Programmé	O	O	29/06/2012	06	2012	01/01/2012	31/12/2012	12	2012	13/10/2012	10	2012	50940	41975.27	19751.45	0	0	9652.5	4117.5	0	0	19751.45	0	0	9652.5	4117.5	0	8453.82	41975.27	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	98	QUIMPER	29232	QUIMPER	0	0	33918	Fonds Européen pour la Pêche 	Promotion de la langoustine et valorisation de la filière	Programmé	N	O	21/02/2012	02	2012	01/03/2012	30/04/2012	04	2012	24/04/2012	04	2012	7645.5	4977	2488.5	1244.25	0	0	1244.25	0	0	2488.5	1244.25	0	0	1244.25	0	0	4977	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	Plusieurs cantons	0	Plusieurs communes	0	0	32798	Fonds Européen pour la Pêche 	Installation de systèmes d'alimentation en eau de mer propre au sens de la règlementation communautaire pour les criées de Concarneau, Le Guilvinec, Saint-Guénolé Penmarc'h, Douarnenez et Loctudy	Programmé	N	N	22/07/2011	07	2011	13/08/2012	31/03/2015	03	2015	13/03/2012	03	2012	1896300	1896300	568890	379260	379260	379260	189630	379260	379260	151203.71	100802.47	187509.1	187509.1	93754.54	0	216766.56	504012.35	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations et organismes extraterritoriaux	145 Avenue de Keradennec	29000	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	0	0	0	0	0	33425	Fonds Social Européen 	Entreprendre en France - Finistère	Programmé	O	O	29/06/2011	06	2011	01/01/2011	31/12/2011	12	2011	13/12/2011	12	2011	54577.82	30775.35	9345.37	0	0	8280	5490	0	0	9345.37	0	0	8280	5490	0	7659.98	30775.35	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	98	QUIMPER	29232	QUIMPER	0	0	32401	Fonds Européen pour la Pêche 	PROMOTION DE LA LANGOUSTINE	Programmé	O	O	22/04/2011	04	2011	26/05/2011	26/05/2011	05	2011	12/07/2011	07	2011	11146.5	11009.7	5504.85	2752.43	0	0	2752.43	0	0	4640.76	2320.38	0	0	2320.38	0	0	9281.52	0
S18290013400012	Chambre de Commerce et d'Industrie de Quimper-Cornouaille	AUTRE PUBLIC	Activités des organisations patronales et consulaires	145, avenue de Keradennec	29330	QUIMPER	29232	0	0	53	BRETAGNE	29	FINISTERE	4	QUIMPER	0	Plusieurs cantons	0	Plusieurs communes	0	0	31374	Fonds Européen pour la Pêche 	Mise à jour et sécurisation de l'informatique de vente pour les Ports cornouaillais	Programmé	O	O	22/03/2010	03	2010	01/04/2010	31/10/2010	10	2010	18/10/2010	10	2010	145561.5	145561.5	29112.3	14556.15	29112.3	29112.3	0	0	0	28797.3	14398.65	28797.3	28797.3	0	0	43195.95	143986.5	0
